Stanowisko; Miejsce pracy; Rodzaj umowy; Pracodawca; Dostępna od; 
"Pomocnik mechanika"; "Adama Mickiewicza 37/7, 06-408 Krasne, powiat: przasnyski, woj: mazowieckie"; "Umowa o pracę na czas określony"; "RAFAŁ JASIŃSKI AUTOMECHANIKA"; 05.01.2022; 
"Pomocniczy robotnik budowlany"; "Knurów, powiat: gliwicki, woj: śląskie"; "Umowa o pracę na czas nieokreślony"; "kontakt przez PUP"; 05.01.2022; 
"Pomoc kuchenna"; "Romany-Sebory, powiat: przasnyski, woj: mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"Pokojowa"; "SŁONECZNA 14, 82-420 Ryjewo, powiat: kwidzyński, woj: pomorskie"; "Umowa o pracę na czas określony"; "DOM POMOCY SPOŁECZNEJ ""SŁONECZNE WZGÓRZE"" W RYJEWIE"; 05.01.2022; 
"Sprzedawca"; "Przasnysz, powiat: przasnyski, woj: mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"Technik prac biurowych-Pracownik I stopnia wykonujący zadania w ramach robót publicznych"; "Jerzmanowice, powiat: krakowski, woj: małopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 04.01.2022; 
"POMOC W TRANSPORCIE KRAJOWYM I MIĘDZYNARODOWYM"; "32-125 Pobiednik Mały 20, powiat: krakowski, woj: małopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "AGMAZ AGNIESZKA MAZUR"; 05.01.2022; 
"Nauczyciel florysta"; "Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 05.01.2022; 
"SZWACZKA"; "63-645 Piaski 9a, powiat: kępiński, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "P.P.U.H. ""GABI-JERCZYŃSCY"" SP. J."; 05.01.2022; 
"POMOCNIK TAPICERA"; "63-645 Piaski 9a, powiat: kępiński, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "P.P.U.H. ""GABI-JERCZYŃSCY"" SP. J."; 05.01.2022; 
"OPERATOR LINII PRODUKCJI PALETU"; "63-645 Piaski 9a, powiat: kępiński, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "P.P.U.H. ""GABI-JERCZYŃSCY"" SP. J."; 05.01.2022; 
"Monter instalacji i urządzeń sanitarnych"; "Bielsko-Biała, powiat: m. Bielsko-Biała, woj: śląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"Monter"; "87-300 Brodnica, powiat: brodnicki, woj: kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "PAW-SPAW Paweł Sobieszyński"; 05.01.2022; 
"Kierowca kat. C+E, R5/0014-5/22"; "87-800 Włocławek, powiat: m. Włocławek, woj: kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "TRANSPORT CIĘŻAROWY - CEZARY DZIERŻAWSKI"; 05.01.2022; 
"Fizjoterapeuta"; "Mrongowiusza 13C, 11-700 Mrągowo, powiat: mrągowski, woj: warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "Zespół Szkół Specjalnych"; 05.01.2022; 
