Stanowisko; Miejsce pracy; Rodzaj umowy; Pracodawca; Dostępna od; 
"Starszy Analityk ds. Raportowania Finansowego"; "Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"Kierowca Taksówki"; "Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 05.01.2022; 
"Kosmetyczka"; "Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 05.01.2022; 
"Młodszy Specjalista ds. pozyskiwania kandydatów"; "Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"Dostawca potraw"; "Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 05.01.2022; 
"Pracownik techniczny"; "Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 05.01.2022; 
"Monter regałów magazynowych"; "30-552 Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "HARDY'S INDUSTRIES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 05.01.2022; 
"Robotnik gospodarczy"; "30-363 Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa o pracę na czas określony"; "Admisfera - Usługi"; 05.01.2022; 
"Kierownik ds. Obsługi Procesu"; "Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"Integrator Usług IT dla Systemów Produkcyjnych EU/ EE"; "Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"Wewnętrzny Przedstawiciel Handlowy"; "Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"Pokojowa"; "Podchorążych 2, 30-084 Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa o pracę na okres próbny"; "UNIWERSYTET PEDAGOGICZNY IM.KOMISJI EDUKACJI NARODOWEJ W KRAKOWIE"; 05.01.2022; 
"operator maszyn krojących i wykrawających do papieru"; "Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"Integrator Usług IT - P1 EE"; "Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"Sprzedawca na stoisku mięsnym"; "Na Kozłówce 10, 30-664 Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa o pracę na okres próbny"; """STOKROTKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 05.01.2022; 
"robotnik gospodarczy"; "Ks.Popiełuszki 2a, 32-050 Skawina, powiat: krakowski, woj: małopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Przychodnia Zdrowia Skawina Sp.z o.o."; 05.01.2022; 
"specjalista ds. reklamy "; "Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"Analityk ds. weryfikacji KYC"; "Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"Specjalista ds. kontroli ryzyka "; "Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"Sprzątaczka biurowa"; "Warszawska 1, 40-009 Katowice, powiat: m. Katowice, woj: śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "INWEMER SYSTEM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 05.01.2022; 
"Sprzątaczka biurowa"; "Panewnicka 52, 40-730 Katowice, powiat: m. Katowice, woj: śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "INWEMER SYSTEM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 05.01.2022; 
"Kierownik budowy (nr 0024)"; "Łączna 7, 88-160 Janikowo, powiat: inowrocławski, woj: kujawsko-pomorskie"; "Umowa o pracę na czas nieokreślony"; "Przedsiębiorstwo Produkcyjno Handlowe ""MONTOSTAL"" Sp.z o.o."; 05.01.2022; 
"Lakiernik samochodowy (O)"; "Łokietka 3, 33-160 Ryglice, powiat: tarnowski, woj: małopolskie"; "Umowa o pracę na czas określony"; "Grzegorz Duda Firma Duda-Auto"; 05.01.2022; 
"Pomocnik montera instalacji sanitarnych."; "Zwierzewo 4c, 14-100 Ostróda, powiat: ostródzki, woj: warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "EKO-THERM KRZYSZTOF WROŃSKI"; 05.01.2022; 
"POMOC ADMINISTRACYJNA"; "Kędzierzyn-Koźle, powiat: kędzierzyńsko-kozielski, woj: opolskie"; "Nie dotyczy"; "kontakt przez PUP"; 03.01.2022; 
"POMOC ADMINISTRACYJNA"; "Kędzierzyn-Koźle, powiat: kędzierzyńsko-kozielski, woj: opolskie"; "Nie dotyczy"; "kontakt przez PUP"; 03.01.2022; 
"POMOC ADMINISTRACYJNA"; "Kędzierzyn-Koźle, powiat: kędzierzyńsko-kozielski, woj: opolskie"; "Nie dotyczy"; "kontakt przez PUP"; 03.01.2022; 
"REFERENT ADMINISTRACYJNO-BIUROWY"; "Kędzierzyn-Koźle, powiat: kędzierzyńsko-kozielski, woj: opolskie"; "Nie dotyczy"; "kontakt przez PUP"; 03.01.2022; 
"Magazynier"; "36-071 Trzciana 165A, powiat: rzeszowski, woj: podkarpackie"; "Umowa o pracę na czas nieokreślony"; "PRZEDSIĘBIORSTWO HANDLOWE ""DOBIS"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 05.01.2022; 
"sprzedawca na stacji paliw, pracownik podjazdu"; "Porosły 91, 16-070 Choroszcz, powiat: białostocki, woj: podlaskie"; "Umowa o pracę na okres próbny"; "BIS Sławomir Gorustowicz"; 05.01.2022; 
"pracownik produkcji- tapicer"; "16-001 Ignatki 40/1, powiat: białostocki, woj: podlaskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "DAZE W&IP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 05.01.2022; 
"kucharz kebaba"; "Adama Mickiewicza 27, 15-232 Białystok, powiat: m. Białystok, woj: podlaskie"; "Umowa o pracę na okres próbny"; "ISTANBUL Tatiana Rybczyńska"; 05.01.2022; 
"Myjkowy"; "Słowiańska 23-25, 59-300 Lubin, powiat: lubiński, woj: dolnośląskie"; "Umowa o pracę na okres próbny"; "GÓRNY - POCZYNEK SP. Z O.O."; 05.01.2022; 
"Mechanik samochodowy"; "Słowiańska 23-25, 59-300 Lubin, powiat: lubiński, woj: dolnośląskie"; "Umowa o pracę na okres próbny"; "GÓRNY - POCZYNEK SP. Z O.O."; 05.01.2022; 
"Pracownik biura obsługi klienta - serwisant"; "Słowiańska 23-25, 59-300 Lubin, powiat: lubiński, woj: dolnośląskie"; "Umowa o pracę na okres próbny"; "GÓRNY - POCZYNEK SP. Z O.O."; 05.01.2022; 
"Pomoc kuchenna"; "16-402 Huta 7, powiat: suwalski, woj: podlaskie"; "Umowa o pracę na czas określony"; "Folwark Hutta Maciej Kotowicz"; 05.01.2022; 
"Kucharz"; "16-402 Huta 7, powiat: suwalski, woj: podlaskie"; "Umowa o pracę na czas określony"; "Folwark Hutta Maciej Kotowicz"; 05.01.2022; 
"Kierowca kat. B, C+E, D (nr 0034)"; "Bożenkowo, powiat: bydgoski, woj: kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; 04.01.2022; 
"Kierowca kat. C"; "Marywilska 38, 03-228 Warszawa, powiat: m.st. Warszawa, woj: mazowieckie"; "Umowa o pracę na czas określony"; "APPIUS INŻYNIERIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 05.01.2022; 
"Majster Robót Drogowych"; "Marywilska 38, 03-228 Warszawa, powiat: m.st. Warszawa, woj: mazowieckie"; "Umowa o pracę na czas określony"; "APPIUS INŻYNIERIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 05.01.2022; 
"Operator koparki"; "Marywilska 38, 03-228 Warszawa, powiat: m.st. Warszawa, woj: mazowieckie"; "Umowa o pracę na czas określony"; "APPIUS INŻYNIERIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 05.01.2022; 
"Kierownik Robót Drogowych"; "Marywilska 38, 03-228 Warszawa, powiat: m.st. Warszawa, woj: mazowieckie"; "Umowa o pracę na czas określony"; "APPIUS INŻYNIERIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 05.01.2022; 
"PIELĘGNIARKA"; "39-220 Parkosz 26, powiat: dębicki, woj: podkarpackie"; "Umowa o pracę na czas określony"; "DOM POMOCY SPOŁECZNEJ W PARKOSZU"; 05.01.2022; 
"Pracownik ochrony"; "Lędzińska 24/19, 43-140 Lędziny, powiat: bieruńsko-lędziński, woj: śląskie"; "Umowa o pracę na czas określony"; "AGENCJA OCHRONY ""ZIEMOWIT"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 05.01.2022; 
"Asystent dyrektora"; "Łódź, powiat: m. Łódź, woj: łódzkie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"referent"; "Kopcińskiego 58, 90-032 Łódź, powiat: m. Łódź, woj: łódzkie"; "Umowa o pracę w zastępstwie"; "Narodowy Fundusz Zdrowia Łódzki Oddział Wojewódzki"; 05.01.2022; 
"Referent"; "Kopcińskiego 58, 90-032 Łódź, powiat: m. Łódź, woj: łódzkie"; "Umowa o pracę na okres próbny"; "Narodowy Fundusz Zdrowia Łódzki Oddział Wojewódzki"; 05.01.2022; 
"referent"; "Kopcińskiego 58, 90-032 Łódź, powiat: m. Łódź, woj: łódzkie"; "Umowa o pracę na okres próbny"; "Narodowy Fundusz Zdrowia Łódzki Oddział Wojewódzki"; 05.01.2022; 
"Spedytor"; "Łódź, powiat: m. Łódź, woj: łódzkie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"tokarz - frezer"; "Senatorska 35/37, 93-192 Łódź, powiat: m. Łódź, woj: łódzkie"; "Umowa o pracę na czas nieokreślony"; "ZAKŁADY PRZEMYSŁU FILCOWEGO ""FILTEX"" SPÓŁKA AKCYJNA"; 05.01.2022; 
"Ślusarz - mechanik w dziale utrzymania ruchu"; "Senatorska 35/37, 93-192 Łódź, powiat: m. Łódź, woj: łódzkie"; "Umowa o pracę na czas nieokreślony"; "ZAKŁADY PRZEMYSŁU FILCOWEGO ""FILTEX"" SPÓŁKA AKCYJNA"; 05.01.2022; 
"Robotnik magazynowy"; "Łódź, powiat: m. Łódź, woj: łódzkie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 05.01.2022; 
"Pedagog w Domu Dziecka"; "Mickiewicza 2, 59-420 Bolków, powiat: jaworski, woj: dolnośląskie"; "Umowa o pracę na okres próbny"; "Powiatowe Centrum Pomocy Rodzinie w Jaworze"; 05.01.2022; 
"mistrz"; "Zabrze, powiat: m. Zabrze, woj: śląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 04.01.2022; 
"Sprzedawca "; "SARNI STOK 2, 43-300 Bielsko-Biała, powiat: m. Bielsko-Biała, woj: śląskie"; "Umowa o pracę na okres próbny"; "KUPIEC GE-ES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 05.01.2022; 
"Konserwator w PSG w Wetlinie"; "38-608 Wetlina, powiat: leski, woj: podkarpackie"; "Umowa o pracę na czas określony"; "BIESZCZADZKI ODDZIAŁ STRAŻY GRANICZNEJ W P-ŚLU"; 05.01.2022; 
"Magazynier - kierowca"; "Zagłoby 32, 27-400 Ostrowiec Świętokrzyski, powiat: ostrowiecki, woj: świętokrzyskie"; "Umowa o pracę na czas określony"; "SPÓŁDZIELNIA MLECZARSKA MLEKOVITA Oddział w Ostrowcu Św."; 05.01.2022; 
"CZYNNOŚCI W ZAKRESIE SPRZĄTANIA ( 4 op)"; "Józefów, powiat: otwocki, woj: mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 04.01.2022; 
"Operator zautomatyzowanej linii produkcyjnej ( 5 op)"; "Józefów, powiat: otwocki, woj: mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 04.01.2022; 
"CZYNNOŚCI W ZAKRESIE PRAC PROSTYCH, PRODUKCJI I PAKOWANIA ( 6 op)"; "Józefów, powiat: otwocki, woj: mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 04.01.2022; 
"CZYNNOŚCI W ZAKRESIE SPRZĄTANIA ( 7 op)"; "Józefów, powiat: otwocki, woj: mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 04.01.2022; 
"Operator zautomatyzowanej linii produkcyjnej ( 8 op)"; "Józefów, powiat: otwocki, woj: mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 04.01.2022; 
"CZYNNOŚCI W ZAKRESIE PRAC PROSTYCH ,PRODUKCJI I PAKOWANIA ( 9 op)"; "Józefów, powiat: otwocki, woj: mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 04.01.2022; 
"Pakowacz "; "Dąbrowa, powiat: mogileński, woj: kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"Pozostali pracownicy obsługi biurowej"; "Bronisław, powiat: mogileński, woj: kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"Inżynier zootechniki"; "Bielice, powiat: mogileński, woj: kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"Woźna oddziałowa "; "Strzelno, powiat: mogileński, woj: kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"Pozostali pracownicy obsługi biurowej"; "Mogilno, powiat: mogileński, woj: kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"Bibliotekarz"; "Strzelno, powiat: mogileński, woj: kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"Operator prasy krawędziowej/gilotyny"; "Milenijna 2, 97-410 Żłobnica, powiat: bełchatowski, woj: łódzkie"; "Umowa o pracę na czas określony"; "KOBZARENKO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 05.01.2022; 
"Pracownik tartaku"; "82-103 Jantar-Leśniczówka 20a, powiat: nowodworski, woj: pomorskie"; "Umowa o pracę na okres próbny"; "Zenon Rymkiewicz Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe ""TARTAK""- Zenon Rymkiewicz"; 05.01.2022; 
"Sortowacz (nr 0023)"; "88-101 Krusza Zamkowa 12, powiat: inowrocławski, woj: kujawsko-pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Przedsiębiortswo Wielobranżowe Artmet-Duo Ryszard Artwik"; 05.01.2022; 
"Elektryk/ pomocnik elektryka"; "59-300 Lubin, powiat: lubiński, woj: dolnośląskie"; "Umowa o pracę na czas określony"; "FIRMA BARABAŚ SP. Z O.O."; 05.01.2022; 
"Operator wózka widłowego magazyn/ produkcja"; "59-300 Lubin, powiat: lubiński, woj: dolnośląskie"; "Umowa o pracę na czas określony"; "FIRMA BARABAŚ SP. Z O.O."; 05.01.2022; 
"Pracownik produkcji"; "59-300 Lubin, powiat: lubiński, woj: dolnośląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "FIRMA BARABAŚ SP. Z O.O."; 05.01.2022; 
"Sortowacz (nr 0022)"; "88-101 Krusza Zamkowa 12, powiat: inowrocławski, woj: kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "Przedsiębiortswo Wielobranżowe Artmet-Duo Ryszard Artwik"; 05.01.2022; 
"Technik RTG"; "-, 44-194 Knurów, powiat: gliwicki, woj: śląskie"; "Umowa o pracę na czas określony"; "BUSZKA-WIEPRZYCKA KAMILLA NIEPUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ CENTRUM ZDROWIA SANVITA"; 05.01.2022; 
"Pielęgniarka instrumentariuszka"; "Kazimierza Wielkiego 13, 44-194 Knurów, powiat: gliwicki, woj: śląskie"; "Umowa o pracę na czas określony"; "BUSZKA-WIEPRZYCKA KAMILLA NIEPUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ CENTRUM ZDROWIA SANVITA"; 05.01.2022; 
"Salowa"; "-, 44-194 Knurów, powiat: gliwicki, woj: śląskie"; "Umowa o pracę na czas określony"; "Grzegorz Wieprzycki ""Buszka-Wieprzycka Kamilla i Wieprzycki Grzegorz"""; 05.01.2022; 
"Stylistka paznokci"; "Gliwice, powiat: m. Gliwice, woj: śląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"Fryzjer"; "Gliwice, powiat: m. Gliwice, woj: śląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"Dekarz-pomocnik dekarza"; "Handlowa 4, 39-400 Tarnobrzeg, powiat: m. Tarnobrzeg, woj: podkarpackie"; "Umowa o pracę na okres próbny"; "Marek Gomułka Firma Usługowo-Handlowa ""Dach-Bud"""; 05.01.2022; 
"pracownik fizyczny"; "Woryty, powiat: olsztyński, woj: warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"Fryzjer"; "Aleja Wojska Polskiego 1A, 11-300 Biskupiec, powiat: olsztyński, woj: warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "Studio Fryzjersko-Kosmetyczne Adamowicz i Uczniowie Ewa Adamowicz"; 05.01.2022; 
"kierowca samochodu dostawczego"; "Biała Podlaska, powiat: m. Biała Podlaska, woj: lubelskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"hydraulik"; "Gabriela Narutowicza 45, 21-500 Biała Podlaska, powiat: m. Biała Podlaska, woj: lubelskie"; "Umowa o pracę na czas nieokreślony"; """UBIT"" Usługi Budowlane Jerzy Łaski"; 05.01.2022; 
"kierownik budowy"; "Gabriela Narutowicza 45, 21-500 Biała Podlaska, powiat: m. Biała Podlaska, woj: lubelskie"; "Umowa o pracę na czas nieokreślony"; """UBIT"" Usługi Budowlane Jerzy Łaski"; 05.01.2022; 
"pracownik budowlany"; "Gabriela Narutowicza 45, 21-500 Biała Podlaska, powiat: m. Biała Podlaska, woj: lubelskie"; "Umowa o pracę na czas nieokreślony"; """UBIT"" Usługi Budowlane Jerzy Łaski"; 05.01.2022; 
"Sanitariusz, salowa"; "Marii Skłodowskiej-Curie 24A, 15-276 Białystok, powiat: m. Białystok, woj: podlaskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "IMPEL FACILITY SERVICES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 05.01.2022; 
"Sprzątaczka "; "Choroszczańska 24, 15-732 Białystok, powiat: m. Białystok, woj: podlaskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Centrum Medyczne Hansa-Rehabilitacja Spółka z ograniczona odpowiedzialnością Spółka komandytowa"; 05.01.2022; 
"Ślusarz mechanik"; "Kolejowa 70, 17-132 Strabla, powiat: bielski, woj: podlaskie"; "Umowa o pracę na okres próbny"; "Pronar sp. z o.o."; 05.01.2022; 
"POMOC W TRANSPORCIE KRAJOWYM I MIĘDZYNARODOWYM"; "32-125 Pobiednik Mały 20, powiat: krakowski, woj: małopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "AGMAZ AGNIESZKA MAZUR"; 05.01.2022; 
"Magazynier"; "Bolesławiec, powiat: bolesławiecki, woj: dolnośląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"PRACOWNIK BIUROWY Z JĘZYKIEM NIEMIECKIM"; "63-645 Piaski 9a, powiat: kępiński, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "P.P.U.H. ""GABI-JERCZYŃSCY"" SP. J."; 05.01.2022; 
"STOLARZ"; "63-645 Piaski 9a, powiat: kępiński, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "P.P.U.H. ""GABI-JERCZYŃSCY"" SP. J."; 05.01.2022; 
"POMOCNIK STOLARZA"; "63-645 Piaski 9a, powiat: kępiński, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "P.P.U.H. ""GABI-JERCZYŃSCY"" SP. J."; 05.01.2022; 
"TAPICER MEBLOWY"; "63-645 Piaski 9a, powiat: kępiński, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "P.P.U.H. ""GABI-JERCZYŃSCY"" SP. J."; 05.01.2022; 
"Nauczyciel religii 20/24 etatu"; "Pod Grodziskiem 6, 43-300 Bielsko-Biała, powiat: m. Bielsko-Biała, woj: śląskie"; "Umowa o pracę na czas określony"; "Przedszkole Nr 23 w Bielsku-Białej"; 05.01.2022; 
"Operator wtryskarki 1/2 et. "; "Bielsko-Biała, powiat: m. Bielsko-Biała, woj: śląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"Sprzedawca w branży spożywczej"; "St. Moniuszki 26, 26-110 Skarżysko-Kamienna, powiat: skarżyski, woj: świętokrzyskie"; "Umowa o pracę na okres próbny"; "Jarosław Skorupski Zakład Produkcyjno-Handlowo-Usługowy ""JA-REX"""; 05.01.2022; 
"Rehabilitant/Fizjoterapeuta"; "Browarna 13, 64-920 Piła, powiat: pilski, woj: wielkopolskie"; "Umowa o pracę na czas określony"; "CARITAS DIECEZJI KOSZALIŃSKO-KOŁOBRZESKIEJ"; 05.01.2022; 
"Sprzątaczka"; "Warsztatowa 6, 64-920 Piła, powiat: pilski, woj: wielkopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "CENTRUM KSZTAŁCENIA ""NAUKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 05.01.2022; 
"Elektryk"; "Warsztatowa 6, 64-920 Piła, powiat: pilski, woj: wielkopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "CENTRUM KSZTAŁCENIA ""NAUKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 05.01.2022; 
"Technik ds. pomiarów elektrycznych"; "Elektrowniana 25, 45-920 Opole, powiat: m. Opole, woj: opolskie"; "Umowa o pracę na okres próbny"; "ENERGOTEST-DIAGNOSTYKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 05.01.2022; 
"pracownik żłobka/klubu dziecięcego"; "Radomsko, powiat: radomszczański, woj: łódzkie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; 05.01.2022; 
"Szwaczka"; "97-545 Borowiecko-Kolonia 45A, powiat: radomszczański, woj: łódzkie"; "Umowa o pracę na okres próbny"; "WOJCIECH TOMASZEWSKI FIRMA ""KONFEX"""; 05.01.2022; 
"Pakowacz ręczny (nr 0031)"; "Unii Europejskiej 2B, 86-050 Solec Kujawski, powiat: bydgoski, woj: kujawsko-pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "AP-1 CONSULTING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 04.01.2022; 
"operator urządzeń przemysłu ceramicznego"; "Środa Śląska, powiat: średzki, woj: dolnośląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"wsparcie w procesach produkcyjnych"; "Komorniki, powiat: średzki, woj: dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; 05.01.2022; 
"Opiekunka/Opiekun"; "Farna 3, 51-313 Wrocław, powiat: m. Wrocław, woj: dolnośląskie"; "Umowa o pracę na czas określony"; "Dom Pomocy Społecznej dla Dorosłych"; 05.01.2022; 
"Nauczyciel języka niemieckiego (21 h) Nauczyciel j. polskiego jako obcego (6 h)"; "Szczepańskiego 7, 62-330 Nekla, powiat: wrzesiński, woj: wielkopolskie"; "Umowa o pracę w zastępstwie"; "ZESPÓŁ SZKÓŁ W NEKLI"; 05.01.2022; 
"Pomoc kuchenna"; "Ruda Śląska, powiat: m. Ruda Śląska, woj: śląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 04.01.2022; 
"Personel sprzątający klatki i tereny zewnętrzne Halemba"; "41-706 Ruda Śląska, powiat: m. Ruda Śląska, woj: śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "ZAKŁADY USŁUGOWE EZT ODDZIAŁ W SOSNOWCU"; 05.01.2022; 
"Pomoc stomatologiczna"; "Tuszyn, powiat: łódzki wschodni, woj: łódzkie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"Pracownik obsługi stacji"; "Giemzów 59, 95-006 Giemzów, powiat: łódzki wschodni, woj: łódzkie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Alton Job Sp. z o. o."; 04.01.2022; 
"Barman"; "Leszka 53, 44-300 Wodzisław Śląski, powiat: wodzisławski, woj: śląskie"; "Umowa o pracę na czas nieokreślony"; "Dominika Suchecka"; 05.01.2022; 
"Opiekun w żłobku"; "Nałkowskiej 6, 43-100 Tychy, powiat: m. Tychy, woj: śląskie"; "Umowa o pracę na czas określony"; "PRZEDSZKOLE NIEPUBLICZNE ""JEDYNKA"" KRYSTIAN JÓZWOWSKI, HENRYKA JÓZWOWSKA SPÓŁKA CYWILNA"; 05.01.2022; 
"Pracownik sprzątający"; "Eugeniusza Kwiatkowskiego 1, 37-450 Stalowa Wola, powiat: stalowowolski, woj: podkarpackie"; "Umowa o pracę na okres próbny"; "Przedsiębiorstwo Wielobranżowe KARABELA Sp.z o.o."; 04.01.2022; 
"Monter wiązek elektrycznych"; "Linowiec, powiat: starogardzki, woj: pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 05.01.2022; 
"Szwaczka "; "Parkowa 5, 55-095 Borowa, powiat: wrocławski, woj: dolnośląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "ALEKSANDER SZCZEBAK PERFECTA"; 04.01.2022; 
"Monter parasoli"; "Parkowa 5, 55-093 Borowa, powiat: wrocławski, woj: dolnośląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "ALEKSANDER SZCZEBAK PERFECTA"; 04.01.2022; 
"Operator maszyn"; "Czekoladowa 1A, 55-040 Bielany Wrocławskie, powiat: wrocławski, woj: dolnośląskie"; "Umowa o pracę na czas określony"; "MONDELEZ POLSKA PRODUCTION SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 04.01.2022; 
